Item,Qty,Reference(s),Value,Digikey,Mouser
1,20,"C1, C2, C3, C4, C5, C7, C8, C9, C10, C11, C14, C16, C17, C20, C21, C22, C25, C26, C29, C30",0.1uF,,581-SA105E104M
2,1,C6,100uF,,667-ECA-1CM101I
3,1,C12,CHROMA,2447-GKG30015-ND,
4,6,"C13, C15, C18, C19, C23, C24",22pF,,810-FG28C0G2A220JNT0
5,1,C27,1uF,,810-FG24X7R1H334KNT6
6,1,C28,1000pF,,810-FG28X7R1H102KNT6
7,2,"C31, C35",10uF,,667-ECA-1CM100I
8,1,C32,0.047uF,,810-FA28X7R1H47300
9,1,C33,220uF,,647-UVY1E221MED1TD
10,1,C34,0.33uF,,810-FG28X7R1H334KRT0
11,1,C36,120pF,,810-FG28C0G1H121JNT6
12,4,"D1, D2, D3, D5",1N4148,,512-1N4148
13,1,D4,POWER,,859-LTL-4213
14,1,D6,DATA,,859-LTL-4213
15,1,J1,Barrel_Jack_Switch,,490-PJ-002B
16,1,J2,EXPANSION,S3316-ND,
17,1,J3,VIDEO,,161-0360-E
18,1,J4,EAR,,490-SJ1-3533NG
19,1,J5,Conn_01x02,,
20,1,J6,MIC,,490-SJ1-3533NG
21,3,"JP1, JP2, JP3",NTSC/PAL,,
22,1,JP4,CLKSEL,,
23,1,JP5,BANK,,
24,1,JP6,PAGE,,
25,1,M1,Stiffener,,540-0G990743
26,1,Q1,2N3904,,512-2N3904BU
27,15,"R1, R3, R6, R14, R15, R16, R18, R19, R20, R21, R22, R26, R27, R31, R32",10K,,603-CFR-25JB-52-10K
28,1,R2,100K,,603-CFR-25JB-52-100K
29,3,"R4, R9, R23",1M,,603-CFR-25JR-521M
30,4,"R5, R10, R25, R29",1K,,603-CFR-25JR-521K
31,3,"R7, R12, R33",220,,603-CFR-25JR-52220R
32,2,"R11, R28",10,,603-CFR-25JR-5210R
33,1,R13,75,,603-CFR-25JR-5275R
34,1,R17,10M,,603-CFR-25JT-52-10M
35,1,R24,DNI,,DNI
36,1,R30,100,,603-CFR-25JR-52100R
37,1,RN1,10K x 8,,652-4609X-1LF-10K
38,1,RV1,47K,,531-PT10LH01473A22S
39,3,"RV2, RV3, RV4",10K,,531-PT10H-10K-S
40,1,SW1,POWER,,633-CS12ANW03
41,1,SW2,RESET,,612-TL1105B
42,58,SW3-SW60,,,540-MX1A-11NW
43,1,U1,CDP1802ACE,,
44,1,U2,74HC574,,595-SN74HC574N
45,2,"U3, U5",74HC74,,595-SN74HC74N
46,1,U4,74HCU04,,595-SN74HCU04N
47,1,U6,74HC10,,595-SN74HC10N
48,1,U7,74HC86,,595-SN74HC86N
49,1,U8,74HC14,,595-SN74HC14N
50,1,U9,CDP1871,,
51,1,U10,CDP1869,,
52,1,U11,74HC245,,595-SN74HC245N
53,3,"U12, U13, U16",AS6C62256,,913-AS6C62256-55PCN
54,1,U14,CDP1870,,
55,1,U15,28C256,,556-AT28C25615PU
56,1,U17,LM386,,926-LM386N-4/NOPB
57,1,Y1,14.318MHz,,815-ABL-14.31818B2
58,1,Y2,11.2896MHz,,815-ABL-11.2896-B4Y
59,1,Y3,DNI,,DNI
